,FileName,angry,sad,neutral,happy,EmoAct,EmoVal,SpkrID,Gender,Split_Set,dominant_emotion
2088,MSP-IMPROV-S03A-F03-P-MF06.wav,0.016667,0.016667,0.95,0.016667,0.35,0.5,3,Female,Development,neutral
2089,MSP-IMPROV-S03A-F03-P-MF07.wav,0.016667,0.016667,0.95,0.016667,0.45833325,0.45833325,3,Female,Development,neutral
2091,MSP-IMPROV-S03A-F03-P-MF09.wav,0.016667,0.016667,0.763333,0.203333,0.4,0.65,3,Female,Development,neutral
2092,MSP-IMPROV-S03A-F03-S-FM01.wav,0.716667,0.016667,0.016667,0.25,0.6,0.30000000000000004,3,Female,Development,angry
2093,MSP-IMPROV-S03A-F03-S-FM03.wav,0.203333,0.016667,0.763333,0.016667,0.55,0.4,3,Female,Development,neutral
2094,MSP-IMPROV-S03A-F03-S-FM04.wav,0.203333,0.576667,0.203333,0.016667,0.2,0.35,3,Female,Development,sad
2096,MSP-IMPROV-S03A-F03-S-FM06.wav,0.016667,0.016667,0.016667,0.95,0.6,0.8,3,Female,Development,happy
2097,MSP-IMPROV-S03A-F03-S-FM07.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.8500000000000001,3,Female,Development,happy
2098,MSP-IMPROV-S03A-F03-S-MF01.wav,0.016667,0.016667,0.016667,0.95,0.6,0.8,3,Female,Development,happy
2100,MSP-IMPROV-S03A-F03-S-MF03.wav,0.716667,0.016667,0.25,0.016667,0.55,0.35,3,Female,Development,angry
2101,MSP-IMPROV-S03A-F03-S-MF04.wav,0.016667,0.203333,0.763333,0.016667,0.4,0.5,3,Female,Development,neutral
2102,MSP-IMPROV-S03A-F03-S-MF05.wav,0.016667,0.016667,0.95,0.016667,0.33333325,0.5,3,Female,Development,neutral
2103,MSP-IMPROV-S03A-F03-T-FM01.wav,0.833333,0.055556,0.094444,0.016667,0.54,0.18,3,Female,Development,angry
2104,MSP-IMPROV-S03A-F03-T-FM02.wav,0.11,0.016667,0.296667,0.576667,0.390625,0.609375,3,Female,Development,happy
2105,MSP-IMPROV-S03A-F04-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.8999999999999999,4,Female,Test,happy
2106,MSP-IMPROV-S03A-F04-P-FM02.wav,0.016667,0.016667,0.763333,0.203333,0.15000000000000002,0.5,4,Female,Test,neutral
2107,MSP-IMPROV-S03A-F04-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.95,4,Female,Test,happy
2108,MSP-IMPROV-S03A-F04-P-MF02.wav,0.016667,0.016667,0.638889,0.327778,0.16666674999999997,0.58333325,4,Female,Test,neutral
2109,MSP-IMPROV-S03A-F04-P-MF04.wav,0.016667,0.016667,0.416667,0.55,0.14285725,0.60714275,4,Female,Test,happy
2110,MSP-IMPROV-S03A-F04-S-FM01.wav,0.763333,0.016667,0.016667,0.203333,0.5,0.30000000000000004,4,Female,Test,angry
2111,MSP-IMPROV-S03A-F04-S-MF01.wav,0.016667,0.016667,0.716667,0.25,0.34375,0.625,4,Female,Test,neutral
2112,MSP-IMPROV-S03A-F04-S-MF02.wav,0.016667,0.016667,0.683333,0.283333,0.3214285,0.5714285,4,Female,Test,neutral
2113,MSP-IMPROV-S03A-F04-T-FM01.wav,0.172222,0.016667,0.67,0.141111,0.37096775000000004,0.516129,4,Female,Test,neutral
2144,MSP-IMPROV-S03A-M03-P-FM01.wav,0.016667,0.016667,0.203333,0.763333,0.2,0.7,3,Male,Development,happy
2145,MSP-IMPROV-S03A-M03-P-FM02.wav,0.016667,0.016667,0.39,0.576667,0.4,0.6,3,Male,Development,happy
2146,MSP-IMPROV-S03A-M03-P-MF01.wav,0.016667,0.016667,0.203333,0.763333,0.35,0.6,3,Male,Development,happy
2147,MSP-IMPROV-S03A-M03-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.30000000000000004,0.7,3,Male,Development,happy
2148,MSP-IMPROV-S03A-M03-P-MF03.wav,0.794444,0.016667,0.172222,0.016667,0.5,0.25,3,Male,Development,angry
2149,MSP-IMPROV-S03A-M03-P-MF04.wav,0.25,0.016667,0.716667,0.016667,0.55,0.44999999999999996,3,Male,Development,neutral
2150,MSP-IMPROV-S03A-M03-P-MF05.wav,0.25,0.016667,0.483333,0.25,0.4,0.44999999999999996,3,Male,Development,neutral
2151,MSP-IMPROV-S03A-M03-P-MF06.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Male,Development,neutral
2152,MSP-IMPROV-S03A-M03-S-FM02.wav,0.016667,0.016667,0.716667,0.25,0.4,0.55,3,Male,Development,neutral
2153,MSP-IMPROV-S03A-M03-S-FM03.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Male,Development,neutral
2154,MSP-IMPROV-S03A-M03-S-FM04.wav,0.016667,0.016667,0.763333,0.203333,0.2,0.65,3,Male,Development,neutral
2155,MSP-IMPROV-S03A-M03-S-FM05.wav,0.016667,0.016667,0.794444,0.172222,0.21428575,0.5714285,3,Male,Development,neutral
2156,MSP-IMPROV-S03A-M03-S-FM06.wav,0.016667,0.016667,0.95,0.016667,0.09999999999999998,0.5,3,Male,Development,neutral
2157,MSP-IMPROV-S03A-M03-S-FM07.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Male,Development,neutral
2158,MSP-IMPROV-S03A-M03-S-FM08.wav,0.016667,0.016667,0.95,0.016667,0.2,0.44999999999999996,3,Male,Development,neutral
2160,MSP-IMPROV-S03A-M03-S-MF02.wav,0.016667,0.016667,0.638889,0.327778,0.66666675,0.625,3,Male,Development,neutral
2161,MSP-IMPROV-S03A-M03-S-MF03.wav,0.203333,0.016667,0.763333,0.016667,0.5,0.58333325,3,Male,Development,neutral
2162,MSP-IMPROV-S03A-M03-S-MF04.wav,0.483333,0.327778,0.172222,0.016667,0.375,0.375,3,Male,Development,angry
2163,MSP-IMPROV-S03A-M03-T-MF01.wav,0.055556,0.055556,0.833333,0.055556,0.35416675,0.54166675,3,Male,Development,neutral
2164,MSP-IMPROV-S03A-M04-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.5,0.7,4,Male,Test,happy
2166,MSP-IMPROV-S03A-M04-P-FM03.wav,0.016667,0.016667,0.95,0.016667,0.2,0.5,4,Male,Test,neutral
2168,MSP-IMPROV-S03A-M04-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.8,4,Male,Test,happy
2169,MSP-IMPROV-S03A-M04-S-FM01.wav,0.283333,0.15,0.55,0.016667,0.35714274999999995,0.35714274999999995,4,Male,Test,neutral
2170,MSP-IMPROV-S03A-M04-S-MF01.wav,0.816667,0.016667,0.016667,0.15,0.71428575,0.1785715,4,Male,Test,angry
2171,MSP-IMPROV-S03A-M04-S-MF02.wav,0.638889,0.016667,0.327778,0.016667,0.5,0.29166675,4,Male,Test,angry
2172,MSP-IMPROV-S03A-M04-T-MF01.wav,0.876316,0.041228,0.065789,0.016667,0.6973685,0.17105274999999998,4,Male,Test,angry
2211,MSP-IMPROV-S03H-F03-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.7916667500000001,0.875,3,Female,Development,happy
2212,MSP-IMPROV-S03H-F03-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.375,0.7916667500000001,3,Female,Development,happy
2213,MSP-IMPROV-S03H-F03-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.7,0.8999999999999999,3,Female,Development,happy
2214,MSP-IMPROV-S03H-F03-P-MF03.wav,0.016667,0.016667,0.016667,0.95,0.64285725,1.0,3,Female,Development,happy
2215,MSP-IMPROV-S03H-F03-P-MF04.wav,0.016667,0.016667,0.016667,0.95,0.25,0.8214284999999999,3,Female,Development,happy
2216,MSP-IMPROV-S03H-F03-S-FM01.wav,0.016667,0.016667,0.016667,0.95,0.75,0.8500000000000001,3,Female,Development,happy
2217,MSP-IMPROV-S03H-F03-S-FM02.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.8500000000000001,3,Female,Development,happy
2218,MSP-IMPROV-S03H-F03-S-MF01.wav,0.016667,0.016667,0.576667,0.39,0.4,0.6,3,Female,Development,neutral
2219,MSP-IMPROV-S03H-F03-S-MF02.wav,0.016667,0.016667,0.95,0.016667,0.4,0.35,3,Female,Development,neutral
2220,MSP-IMPROV-S03H-F03-S-MF03.wav,0.016667,0.016667,0.683333,0.283333,0.46428575000000005,0.5714285,3,Female,Development,neutral
2221,MSP-IMPROV-S03H-F03-T-FM01.wav,0.300725,0.057246,0.138406,0.503623,0.57758625,0.56034475,3,Female,Development,happy
2222,MSP-IMPROV-S03H-F04-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.4,0.8500000000000001,4,Female,Test,happy
2223,MSP-IMPROV-S03H-F04-P-FM02.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.75,4,Female,Test,happy
2224,MSP-IMPROV-S03H-F04-P-FM03.wav,0.016667,0.016667,0.016667,0.95,0.15000000000000002,0.8,4,Female,Test,happy
2225,MSP-IMPROV-S03H-F04-P-FM04.wav,0.016667,0.016667,0.576667,0.39,0.25,0.55,4,Female,Test,neutral
2226,MSP-IMPROV-S03H-F04-P-FM05.wav,0.016667,0.016667,0.016667,0.95,0.54166675,0.8333332499999999,4,Female,Test,happy
2227,MSP-IMPROV-S03H-F04-P-FM06.wav,0.016667,0.016667,0.016667,0.95,0.6,0.8999999999999999,4,Female,Test,happy
2228,MSP-IMPROV-S03H-F04-S-FM01.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.95,4,Female,Test,happy
2229,MSP-IMPROV-S03H-F04-S-FM02.wav,0.016667,0.016667,0.016667,0.95,0.35714274999999995,0.8214284999999999,4,Female,Test,happy
2230,MSP-IMPROV-S03H-F04-S-MF01.wav,0.016667,0.172222,0.016667,0.794444,0.5,0.75,4,Female,Test,happy
2231,MSP-IMPROV-S03H-F04-S-MF02.wav,0.016667,0.016667,0.016667,0.95,0.30000000000000004,0.7,4,Female,Test,happy
2232,MSP-IMPROV-S03H-F04-T-FM01.wav,0.048851,0.016667,0.048851,0.885632,0.32758624999999997,0.8017242499999999,4,Female,Test,happy
2272,MSP-IMPROV-S03H-M03-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.4,0.8,3,Male,Development,happy
2273,MSP-IMPROV-S03H-M03-S-FM01.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.44999999999999996,3,Male,Development,neutral
2274,MSP-IMPROV-S03H-M03-S-FM02.wav,0.016667,0.016667,0.203333,0.763333,0.35,0.75,3,Male,Development,happy
2275,MSP-IMPROV-S03H-M03-S-FM03.wav,0.016667,0.016667,0.95,0.016667,0.2,0.55,3,Male,Development,neutral
2276,MSP-IMPROV-S03H-M03-S-MF01.wav,0.016667,0.016667,0.203333,0.763333,0.35,0.75,3,Male,Development,happy
2277,MSP-IMPROV-S03H-M03-S-MF02.wav,0.016667,0.016667,0.172222,0.794444,0.33333325,0.70833325,3,Male,Development,happy
2278,MSP-IMPROV-S03H-M03-S-MF03.wav,0.016667,0.016667,0.39,0.576667,0.55,0.8999999999999999,3,Male,Development,happy
2279,MSP-IMPROV-S03H-M03-T-MF01.wav,0.016667,0.016667,0.503623,0.463043,0.31521750000000004,0.5869565,3,Male,Development,neutral
2280,MSP-IMPROV-S03H-M04-P-FM01.wav,0.016667,0.016667,0.576667,0.39,0.44999999999999996,0.8,4,Male,Test,neutral
2281,MSP-IMPROV-S03H-M04-P-FM02.wav,0.016667,0.016667,0.016667,0.95,0.4,0.8500000000000001,4,Male,Test,happy
2282,MSP-IMPROV-S03H-M04-P-FM03.wav,0.016667,0.016667,0.203333,0.763333,0.5,0.7,4,Male,Test,happy
2284,MSP-IMPROV-S03H-M04-P-FM05.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.5,4,Male,Test,neutral
2285,MSP-IMPROV-S03H-M04-P-FM06.wav,0.016667,0.016667,0.39,0.576667,0.35,0.65,4,Male,Test,happy
2287,MSP-IMPROV-S03H-M04-S-FM02.wav,0.016667,0.016667,0.203333,0.763333,0.65,0.75,4,Male,Test,happy
2288,MSP-IMPROV-S03H-M04-S-MF01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.8,4,Male,Test,happy
2289,MSP-IMPROV-S03H-M04-T-MF01.wav,0.016667,0.016667,0.203333,0.763333,0.5,0.8416667499999999,4,Male,Test,happy
2326,MSP-IMPROV-S03N-F03-P-FM01.wav,0.016667,0.016667,0.95,0.016667,0.35,0.55,3,Female,Development,neutral
2327,MSP-IMPROV-S03N-F03-P-FM02.wav,0.016667,0.016667,0.016667,0.95,0.28125,0.5,3,Female,Development,happy
2328,MSP-IMPROV-S03N-F03-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.4,0.8500000000000001,3,Female,Development,happy
2329,MSP-IMPROV-S03N-F03-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.35,0.8999999999999999,3,Female,Development,happy
2330,MSP-IMPROV-S03N-F03-P-MF03.wav,0.016667,0.016667,0.016667,0.95,0.6,0.8999999999999999,3,Female,Development,happy
2331,MSP-IMPROV-S03N-F03-S-FM01.wav,0.327778,0.016667,0.172222,0.483333,0.45833325,0.70833325,3,Female,Development,happy
2332,MSP-IMPROV-S03N-F03-S-MF01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.55,3,Female,Development,neutral
2333,MSP-IMPROV-S03N-F03-S-MF02.wav,0.016667,0.016667,0.95,0.016667,0.25,0.5,3,Female,Development,neutral
2334,MSP-IMPROV-S03N-F03-S-MF03.wav,0.327778,0.016667,0.638889,0.016667,0.35,0.6,3,Female,Development,neutral
2335,MSP-IMPROV-S03N-F03-T-FM01.wav,0.016667,0.362346,0.500617,0.12037,0.45833325,0.38888900000000004,3,Female,Development,neutral
2336,MSP-IMPROV-S03N-F04-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.2,0.8,4,Female,Test,happy
2338,MSP-IMPROV-S03N-F04-S-FM02.wav,0.016667,0.15,0.816667,0.016667,0.10714275000000001,0.46428575000000005,4,Female,Test,neutral
2339,MSP-IMPROV-S03N-F04-S-MF01.wav,0.016667,0.016667,0.016667,0.95,0.25,0.8500000000000001,4,Female,Test,happy
2340,MSP-IMPROV-S03N-F04-T-FM01.wav,0.016667,0.044949,0.865152,0.073232,0.30882350000000003,0.52941175,4,Female,Test,neutral
2370,MSP-IMPROV-S03N-M03-P-MF01.wav,0.016667,0.016667,0.203333,0.763333,0.2,0.6,3,Male,Development,happy
2371,MSP-IMPROV-S03N-M03-P-MF02.wav,0.016667,0.016667,0.25,0.716667,0.46875,0.78125,3,Male,Development,happy
2372,MSP-IMPROV-S03N-M03-S-FM01.wav,0.016667,0.016667,0.172222,0.794444,0.20833325000000003,0.70833325,3,Male,Development,happy
2373,MSP-IMPROV-S03N-M03-S-FM02.wav,0.016667,0.016667,0.016667,0.95,0.4,0.75,3,Male,Development,happy
2374,MSP-IMPROV-S03N-M03-S-MF01.wav,0.016667,0.016667,0.39,0.576667,0.15000000000000002,0.65,3,Male,Development,happy
2375,MSP-IMPROV-S03N-M03-S-MF02.wav,0.016667,0.016667,0.576667,0.39,0.15000000000000002,0.7,3,Male,Development,neutral
2376,MSP-IMPROV-S03N-M03-T-MF01.wav,0.016667,0.052564,0.914103,0.016667,0.28846150000000004,0.4903845,3,Male,Development,neutral
2377,MSP-IMPROV-S03N-M04-P-FM01.wav,0.016667,0.15,0.816667,0.016667,0.1785715,0.46428575000000005,4,Male,Test,neutral
2378,MSP-IMPROV-S03N-M04-P-FM02.wav,0.016667,0.203333,0.763333,0.016667,0.25,0.4,4,Male,Test,neutral
2380,MSP-IMPROV-S03N-M04-S-FM02.wav,0.016667,0.15,0.15,0.683333,0.35714274999999995,0.64285725,4,Male,Test,happy
2381,MSP-IMPROV-S03N-M04-S-MF01.wav,0.016667,0.016667,0.763333,0.203333,0.35,0.6,4,Male,Test,neutral
2382,MSP-IMPROV-S03N-M04-T-MF01.wav,0.016667,0.016667,0.919892,0.046774,0.40625,0.484375,4,Male,Test,neutral
2427,MSP-IMPROV-S03S-F03-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.65,0.75,3,Female,Development,happy
2428,MSP-IMPROV-S03S-F03-P-FM02.wav,0.016667,0.172222,0.794444,0.016667,0.125,0.41666675,3,Female,Development,neutral
2429,MSP-IMPROV-S03S-F03-P-MF01.wav,0.016667,0.016667,0.203333,0.763333,0.54166675,0.875,3,Female,Development,happy
2430,MSP-IMPROV-S03S-F03-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.54166675,0.8333332499999999,3,Female,Development,happy
2431,MSP-IMPROV-S03S-F03-P-MF03.wav,0.016667,0.172222,0.794444,0.016667,0.16666674999999997,0.45833325,3,Female,Development,neutral
2432,MSP-IMPROV-S03S-F03-P-MF04.wav,0.016667,0.25,0.716667,0.016667,0.20833325000000003,0.33333325,3,Female,Development,neutral
2433,MSP-IMPROV-S03S-F03-P-MF05.wav,0.016667,0.016667,0.95,0.016667,0.4,0.5,3,Female,Development,neutral
2434,MSP-IMPROV-S03S-F03-P-MF06.wav,0.016667,0.016667,0.95,0.016667,0.29166675,0.375,3,Female,Development,neutral
2435,MSP-IMPROV-S03S-F03-P-MF07.wav,0.763333,0.016667,0.016667,0.203333,0.5,0.44999999999999996,3,Female,Development,angry
2436,MSP-IMPROV-S03S-F03-P-MF08.wav,0.203333,0.016667,0.016667,0.763333,0.4,0.65,3,Female,Development,happy
2437,MSP-IMPROV-S03S-F03-P-MF09.wav,0.016667,0.016667,0.016667,0.95,0.29166675,0.875,3,Female,Development,happy
2438,MSP-IMPROV-S03S-F03-P-MF10.wav,0.016667,0.016667,0.016667,0.95,0.45833325,0.8333332499999999,3,Female,Development,happy
2439,MSP-IMPROV-S03S-F03-P-MF11.wav,0.016667,0.016667,0.016667,0.95,0.5,0.75,3,Female,Development,happy
2440,MSP-IMPROV-S03S-F03-P-MF12.wav,0.016667,0.016667,0.016667,0.95,0.5,0.8,3,Female,Development,happy
2441,MSP-IMPROV-S03S-F03-P-MF13.wav,0.016667,0.016667,0.283333,0.683333,0.5,0.8214284999999999,3,Female,Development,happy
2442,MSP-IMPROV-S03S-F03-P-MF14.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.44999999999999996,3,Female,Development,neutral
2443,MSP-IMPROV-S03S-F03-S-FM01.wav,0.016667,0.95,0.016667,0.016667,0.4,0.15000000000000002,3,Female,Development,sad
2444,MSP-IMPROV-S03S-F03-S-FM02.wav,0.016667,0.203333,0.763333,0.016667,0.29166675,0.375,3,Female,Development,neutral
2445,MSP-IMPROV-S03S-F03-S-MF01.wav,0.016667,0.25,0.716667,0.016667,0.33333325,0.5,3,Female,Development,neutral
2447,MSP-IMPROV-S03S-F03-S-MF03.wav,0.016667,0.016667,0.95,0.016667,0.30000000000000004,0.5,3,Female,Development,neutral
2448,MSP-IMPROV-S03S-F03-S-MF04.wav,0.016667,0.327778,0.638889,0.016667,0.4,0.65,3,Female,Development,neutral
2449,MSP-IMPROV-S03S-F03-S-MF05.wav,0.016667,0.016667,0.95,0.016667,0.25,0.6,3,Female,Development,neutral
2450,MSP-IMPROV-S03S-F03-S-MF06.wav,0.016667,0.638889,0.327778,0.016667,0.33333325,0.375,3,Female,Development,sad
2451,MSP-IMPROV-S03S-F03-T-FM01.wav,0.059091,0.610606,0.313636,0.016667,0.36111099999999996,0.25,3,Female,Development,sad
2453,MSP-IMPROV-S03S-F04-P-FM02.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.8500000000000001,4,Female,Test,happy
2454,MSP-IMPROV-S03S-F04-P-FM03.wav,0.39,0.016667,0.016667,0.576667,0.35,0.8999999999999999,4,Female,Test,happy
2455,MSP-IMPROV-S03S-F04-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.35,0.75,4,Female,Test,happy
2456,MSP-IMPROV-S03S-F04-P-MF02.wav,0.016667,0.016667,0.016667,0.95,0.5,0.95,4,Female,Test,happy
2457,MSP-IMPROV-S03S-F04-S-FM01.wav,0.016667,0.95,0.016667,0.016667,0.2,0.2,4,Female,Test,sad
2458,MSP-IMPROV-S03S-F04-S-FM02.wav,0.016667,0.816667,0.15,0.016667,0.28571424999999995,0.14285725,4,Female,Test,sad
2459,MSP-IMPROV-S03S-F04-S-FM03.wav,0.016667,0.95,0.016667,0.016667,0.15000000000000002,0.15000000000000002,4,Female,Test,sad
2460,MSP-IMPROV-S03S-F04-S-FM04.wav,0.016667,0.95,0.016667,0.016667,0.2,0.25,4,Female,Test,sad
2461,MSP-IMPROV-S03S-F04-S-MF01.wav,0.016667,0.39,0.576667,0.016667,0.25,0.4,4,Female,Test,neutral
2462,MSP-IMPROV-S03S-F04-S-MF02.wav,0.016667,0.716667,0.25,0.016667,0.25,0.2,4,Female,Test,sad
2463,MSP-IMPROV-S03S-F04-T-FM01.wav,0.016667,0.500617,0.466049,0.016667,0.34259249999999997,0.35185175,4,Female,Test,sad
2501,MSP-IMPROV-S03S-M03-P-FM01.wav,0.016667,0.016667,0.763333,0.203333,0.30000000000000004,0.6,3,Male,Development,neutral
2502,MSP-IMPROV-S03S-M03-P-MF01.wav,0.016667,0.15,0.15,0.683333,0.35714274999999995,0.6785715,3,Male,Development,happy
2503,MSP-IMPROV-S03S-M03-P-MF02.wav,0.172222,0.016667,0.327778,0.483333,0.33333325,0.66666675,3,Male,Development,happy
2504,MSP-IMPROV-S03S-M03-P-MF03.wav,0.016667,0.576667,0.203333,0.203333,0.25,0.4,3,Male,Development,sad
2505,MSP-IMPROV-S03S-M03-P-MF04.wav,0.016667,0.763333,0.203333,0.016667,0.15000000000000002,0.30000000000000004,3,Male,Development,sad
2506,MSP-IMPROV-S03S-M03-P-MF05.wav,0.172222,0.016667,0.794444,0.016667,0.125,0.41666675,3,Male,Development,neutral
2507,MSP-IMPROV-S03S-M03-P-MF06.wav,0.016667,0.016667,0.016667,0.95,0.35,0.8999999999999999,3,Male,Development,happy
2508,MSP-IMPROV-S03S-M03-P-MF07.wav,0.016667,0.016667,0.203333,0.763333,0.25,0.7,3,Male,Development,happy
2509,MSP-IMPROV-S03S-M03-P-MF08.wav,0.016667,0.016667,0.576667,0.39,0.25,0.7,3,Male,Development,neutral
2510,MSP-IMPROV-S03S-M03-P-MF09.wav,0.016667,0.016667,0.39,0.576667,0.25,0.65,3,Male,Development,happy
2511,MSP-IMPROV-S03S-M03-P-MF10.wav,0.016667,0.016667,0.203333,0.763333,0.30000000000000004,0.75,3,Male,Development,happy
2512,MSP-IMPROV-S03S-M03-P-MF11.wav,0.016667,0.016667,0.016667,0.95,0.375,0.7916667500000001,3,Male,Development,happy
2513,MSP-IMPROV-S03S-M03-S-FM01.wav,0.016667,0.016667,0.763333,0.203333,0.25,0.55,3,Male,Development,neutral
2514,MSP-IMPROV-S03S-M03-S-FM02.wav,0.016667,0.016667,0.95,0.016667,0.35,0.5,3,Male,Development,neutral
2515,MSP-IMPROV-S03S-M03-S-FM03.wav,0.203333,0.016667,0.763333,0.016667,0.25,0.4,3,Male,Development,neutral
2516,MSP-IMPROV-S03S-M03-S-MF01.wav,0.016667,0.95,0.016667,0.016667,0.15000000000000002,0.15000000000000002,3,Male,Development,sad
2517,MSP-IMPROV-S03S-M03-S-MF02.wav,0.016667,0.95,0.016667,0.016667,0.30000000000000004,0.2,3,Male,Development,sad
2518,MSP-IMPROV-S03S-M03-S-MF03.wav,0.016667,0.203333,0.763333,0.016667,0.15000000000000002,0.44999999999999996,3,Male,Development,neutral
2519,MSP-IMPROV-S03S-M03-S-MF04.wav,0.016667,0.016667,0.683333,0.283333,0.1875,0.59375,3,Male,Development,neutral
2520,MSP-IMPROV-S03S-M03-T-MF01.wav,0.016667,0.242929,0.723737,0.016667,0.25,0.45454550000000005,3,Male,Development,neutral
2521,MSP-IMPROV-S03S-M03-T-MF02.wav,0.016667,0.240667,0.688667,0.054,0.2403845,0.43269225,3,Male,Development,neutral
2522,MSP-IMPROV-S03S-M04-P-FM01.wav,0.016667,0.016667,0.016667,0.95,0.4,0.75,4,Male,Test,happy
2523,MSP-IMPROV-S03S-M04-P-FM02.wav,0.016667,0.016667,0.327778,0.638889,0.25,0.625,4,Male,Test,happy
2524,MSP-IMPROV-S03S-M04-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.75,1.0,4,Male,Test,happy
2525,MSP-IMPROV-S03S-M04-P-MF02.wav,0.016667,0.203333,0.763333,0.016667,0.15000000000000002,0.4,4,Male,Test,neutral
2526,MSP-IMPROV-S03S-M04-S-FM01.wav,0.016667,0.016667,0.95,0.016667,0.20833325000000003,0.5,4,Male,Test,neutral
2527,MSP-IMPROV-S03S-M04-S-FM02.wav,0.016667,0.95,0.016667,0.016667,0.44999999999999996,0.25,4,Male,Test,sad
2528,MSP-IMPROV-S03S-M04-S-FM03.wav,0.016667,0.39,0.576667,0.016667,0.25,0.44999999999999996,4,Male,Test,neutral
2529,MSP-IMPROV-S03S-M04-S-FM04.wav,0.016667,0.203333,0.763333,0.016667,0.35,0.5,4,Male,Test,neutral
2530,MSP-IMPROV-S03S-M04-S-MF01.wav,0.016667,0.95,0.016667,0.016667,0.36111099999999996,0.22222225,4,Male,Test,sad
2531,MSP-IMPROV-S03S-M04-S-MF02.wav,0.016667,0.576667,0.39,0.016667,0.44999999999999996,0.25,4,Male,Test,sad
2532,MSP-IMPROV-S03S-M04-T-MF01.wav,0.241954,0.177586,0.563793,0.016667,0.362069,0.41379299999999997,4,Male,Test,neutral
2581,MSP-IMPROV-S04A-F03-P-FM01.wav,0.016667,0.016667,0.95,0.016667,0.25,0.55,3,Female,Development,neutral
2582,MSP-IMPROV-S04A-F03-P-FM02.wav,0.016667,0.016667,0.016667,0.95,0.5625,0.8125,3,Female,Development,happy
2583,MSP-IMPROV-S04A-F03-P-MF01.wav,0.016667,0.016667,0.016667,0.95,0.70833325,0.875,3,Female,Development,happy
2584,MSP-IMPROV-S04A-F03-P-MF02.wav,0.016667,0.016667,0.95,0.016667,0.29166675,0.5,3,Female,Development,neutral
2585,MSP-IMPROV-S04A-F03-P-MF03.wav,0.203333,0.203333,0.576667,0.016667,0.25,0.30000000000000004,3,Female,Development,neutral
2586,MSP-IMPROV-S04A-F03-P-MF04.wav,0.016667,0.39,0.576667,0.016667,0.2,0.4,3,Female,Development,neutral
2588,MSP-IMPROV-S04A-F03-P-MF06.wav,0.016667,0.203333,0.016667,0.763333,0.30000000000000004,0.75,3,Female,Development,happy
2589,MSP-IMPROV-S04A-F03-P-MF07.wav,0.203333,0.016667,0.016667,0.763333,0.35,0.65,3,Female,Development,happy
2590,MSP-IMPROV-S04A-F03-P-MF08.wav,0.016667,0.016667,0.016667,0.95,0.35,0.7,3,Female,Development,happy
2591,MSP-IMPROV-S04A-F03-P-MF09.wav,0.016667,0.016667,0.95,0.016667,0.09999999999999998,0.5,3,Female,Development,neutral
2592,MSP-IMPROV-S04A-F03-P-MF10.wav,0.016667,0.016667,0.716667,0.25,0.30000000000000004,0.65,3,Female,Development,neutral
2593,MSP-IMPROV-S04A-F03-P-MF11.wav,0.016667,0.016667,0.576667,0.39,0.4,0.65,3,Female,Development,neutral
2594,MSP-IMPROV-S04A-F03-P-MF12.wav,0.716667,0.016667,0.25,0.016667,0.44999999999999996,0.30000000000000004,3,Female,Development,angry
2595,MSP-IMPROV-S04A-F03-P-MF13.wav,0.763333,0.016667,0.203333,0.016667,0.44999999999999996,0.25,3,Female,Development,angry
2596,MSP-IMPROV-S04A-F03-P-MF14.wav,0.016667,0.016667,0.016667,0.95,0.44999999999999996,0.6,3,Female,Development,happy
2597,MSP-IMPROV-S04A-F03-P-MF15.wav,0.016667,0.016667,0.016667,0.95,0.70833325,0.9166667500000001,3,Female,Development,happy
